Date Of Stop,Time Of Stop,Agency,SubAgency,Description,Location,Latitude,Longitude,Accident,Belts,Personal Injury,Property Damage,Fatal,Commercial License,HAZMAT,Commercial Vehicle,Alcohol,Work Zone,State,VehicleType,Year,Make,Model,Color,Violation Type,Charge,Article,Contributed To Accident,Race,Gender,Driver City,Driver State,DL State,Arrest Type,Geolocation
11/26/2016,19:50:00,MCP,"4th district, Wheaton",PEDESTRIAN CROSSING ROADWAY BETWEEN ADJACENT INTERSECTIONS HAVING TRAFFIC CONTROL SIGNAL,UNIVERSITY BLVD.  W. @ ELKIN ST.,39.0415083333333,-77.0501233333333,No,No,No,No,No,No,No,No,No,No,XX,29 - Unknown,,NONE,NONE,,Warning,21-503(c),Transportation Article,No,BLACK,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.0415083333333, -77.0501233333333)"
03/04/2013,14:24:00,MCP,"6th district, Gaithersburg / Montgomery Village",DRIVER SPINNING WHEELS,DARNESTOWN ROAD/ORCHARD DRIVE,39.1162533833333,-77.2486083666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2001.0,FORD,MUSTANG,BLACK,Citation,21-1117(c),Transportation Article,No,WHITE,M,NORTH POTOMAC,MD,MD,A - Marked Patrol,"(39.1162533833333, -77.2486083666667)"
11/28/2016,13:08:00,MCP,"1st district, Rockville",DRIVER OF MOTOR VEHICLE FOLLOWING VEHICLE CLOSER THAN REASONABLE AND PRUDENT,SB I270 / FALLS RD,39.2554716666667,-77.22679,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2008.0,HYUN,4S,WHITE,Warning,21-310(a),Transportation Article,No,ASIAN,M,ROCKVILLE,MD,MD,A - Marked Patrol,"(39.2554716666667, -77.22679)"
05/18/2015,10:13:00,MCP,"3rd district, Silver Spring",OPERATOR NOT RESTRAINED BY SEATBELT,"US / GREENCASTLE RD, N/B",39.0948883333333,-76.93648,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2002.0,TOYOTA,AVALON,"GREEN, LGT",Citation,22-412.3(b),Transportation Article,No,BLACK,M,BURTONSVILLE,MD,MD,L - Motorcycle,"(39.0948883333333, -76.93648)"
11/27/2016,03:42:00,MCP,"4th district, Wheaton",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,ASPEN HILL RD @ GEORGIA AVE,,,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,1998.0,TOYOTA,4S,TAN,Warning,21-204(d),Transportation Article,No,BLACK,M,BELTSVILLE,MD,MD,A - Marked Patrol,
09/28/2015,13:44:00,MCP,"3rd district, Silver Spring",DRIVING VEHICLE ON HIGHWAY WITH AN EXPIRED LICENSE,NB 29 @ BURNT MILLS AVE,39.0359366666667,-77.000325,No,No,No,No,No,No,No,No,No,No,NC,05 - Light Duty Truck,2007.0,FORD,F150,WHITE,Citation,16-115(g),Transportation Article,No,HISPANIC,M,DUDLEY,NC,NC,A - Marked Patrol,"(39.0359366666667, -77.000325)"
09/09/2015,09:37:00,MCP,"4th district, Wheaton",EXCEEDING MAXIMUM SPEED: 60 MPH IN A POSTED 45 MPH ZONE,GEORGIA @ REGINA,39.076725,-77.069725,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2014.0,BMW,320 I,BLACK,Citation,21-801.1,Transportation Article,No,BLACK,M,OLNEY,MD,MD,A - Marked Patrol,"(39.076725, -77.069725)"
11/28/2016,17:44:00,MCP,"4th district, Wheaton",DRIVER ENTERING INTERSECTION AT FLASHING RED TRAFFIC SIGNAL WITHOUT STOPPING,NORBECK RD/LAYHILL RD,39.121355,-77.0326833333333,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2012.0,VOLKSWAGEN,PASSAT,WHITE,Warning,21-204(d),Transportation Article,No,HISPANIC,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.121355, -77.0326833333333)"
07/17/2014,16:46:00,MCP,Headquarters and Special Operations,DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,LELAND ST/46TH ST,38.9805083333333,-77.087805,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2004.0,VOLVO,4DR,YELLOW,Citation,13-401(h),Transportation Article,No,BLACK,F,GREENBELT,MD,MD,A - Marked Patrol,"(38.9805083333333, -77.087805)"
11/25/2016,16:37:00,MCP,"4th district, Wheaton",DRIVING VEHICLE ON HIGHWAY WITH SUSPENDED REGISTRATION,RANDOLPH RD @ DALEWOOD,39.0583766666667,-77.0479316666667,No,No,No,No,No,No,No,No,No,No,MD,02 - Automobile,2003.0,CHRY,TOWN & COUNTRY,GOLD,Warning,13-401(h),Transportation Article,No,BLACK,F,SILVER SPRING,MD,MD,A - Marked Patrol,"(39.0583766666667, -77.0479316666667)"
